2026-07-18 02:12:57,426 | INFO | tools.task_tools | list_tasks called: status=Status.PENDING priority=None tag=None
2026-07-18 02:12:57,433 | INFO | tools.task_tools | list_tasks returned 0 task(s)
2026-07-18 02:12:58,963 | INFO | tools.task_tools | detect_overdue_tasks called
2026-07-18 02:12:58,967 | INFO | tools.task_tools | detect_overdue_tasks found 0 overdue task(s)
2026-07-18 02:13:01,192 | INFO | tools.planning_tools | generate_work_plan called: available_hours=6.0 date=today
2026-07-18 02:13:01,193 | INFO | tools.planning_tools | generate_work_plan succeeded: 0 task(s) scheduled, 0 deferred
2026-07-19 15:40:18,793 | INFO | tools.task_tools | create_task called: title='Test Task' priority=High
2026-07-19 15:40:18,897 | INFO | tools.task_tools | create_task succeeded: task_id=91538ee9-503e-422f-ba14-d861f5742d4f
2026-07-19 15:57:58,778 | INFO | tools.note_tools | save_note called: title='Test Note' category=general
2026-07-19 15:57:58,803 | INFO | tools.note_tools | save_note succeeded: note_id=984be207-d0c4-4473-8b52-4be5ebe53c54
2026-07-19 15:58:52,845 | INFO | tools.task_tools | create_task called: title='Draft report' priority=Medium
2026-07-19 15:58:52,871 | INFO | tools.task_tools | create_task succeeded: task_id=479526eb-6e14-4b0b-a0ff-350f760c3ee8
2026-07-19 17:05:46,699 | INFO | tools.task_tools | create_task called: title='Assignment Task' priority=High
2026-07-19 17:05:46,715 | INFO | tools.task_tools | create_task succeeded: task_id=2aa06f03-2e4a-487c-b871-21060f43b75f
2026-07-19 18:07:59,119 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=None
2026-07-19 18:07:59,123 | INFO | tools.task_tools | list_tasks returned 3 task(s)
2026-07-19 18:09:38,379 | INFO | tools.task_tools | update_task called: task_id=479526eb-6e14-4b0b-a0ff-350f760c3ee8
2026-07-19 18:09:38,527 | INFO | tools.task_tools | update_task succeeded: task_id=479526eb-6e14-4b0b-a0ff-350f760c3ee8
2026-07-19 18:09:52,711 | INFO | tools.note_tools | search_notes called: query='test' category=None
2026-07-19 18:09:52,757 | INFO | tools.note_tools | search_notes returned 1 result(s)
2026-07-19 18:10:49,837 | INFO | tools.task_tools | list_tasks called: status=Status.PENDING priority=None tag=None
2026-07-19 18:10:49,847 | INFO | tools.task_tools | list_tasks returned 3 task(s)
2026-07-19 18:10:52,089 | INFO | tools.task_tools | detect_overdue_tasks called
2026-07-19 18:10:52,092 | INFO | tools.task_tools | detect_overdue_tasks found 0 overdue task(s)
2026-07-19 18:12:46,581 | INFO | tools.task_tools | detect_overdue_tasks called
2026-07-19 18:12:46,586 | INFO | tools.task_tools | detect_overdue_tasks found 0 overdue task(s)
2026-07-19 18:13:00,066 | INFO | tools.task_tools | detect_overdue_tasks called
2026-07-19 18:13:00,070 | INFO | tools.task_tools | detect_overdue_tasks found 0 overdue task(s)
2026-07-19 19:31:20,532 | INFO | tools.task_tools | list_tasks called: status=None priority=Priority.CRITICAL tag=None
2026-07-19 19:31:20,538 | INFO | tools.task_tools | list_tasks returned 1 task(s)
2026-07-19 19:31:20,730 | INFO | tools.task_tools | complete_task called: task_id=981d0596-6be5-4fac-abb6-6966bd7065fc
2026-07-19 19:31:20,749 | INFO | tools.task_tools | complete_task succeeded: task_id=981d0596-6be5-4fac-abb6-6966bd7065fc
2026-07-19 19:31:20,821 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=None
2026-07-19 19:31:20,825 | INFO | tools.task_tools | list_tasks returned 0 task(s)
2026-07-19 19:31:20,899 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=0
2026-07-19 19:31:20,904 | INFO | tools.task_tools | list_tasks returned 0 task(s)
2026-07-19 19:31:20,906 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=1
2026-07-19 19:31:20,910 | INFO | tools.task_tools | list_tasks returned 0 task(s)
2026-07-19 19:31:20,912 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=2
2026-07-19 19:31:20,914 | INFO | tools.task_tools | list_tasks returned 0 task(s)
2026-07-19 19:31:20,916 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=3
2026-07-19 19:31:20,919 | INFO | tools.task_tools | list_tasks returned 0 task(s)
2026-07-19 19:31:20,920 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=4
2026-07-19 19:31:20,922 | INFO | tools.task_tools | list_tasks returned 0 task(s)
2026-07-19 19:31:20,924 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=5
2026-07-19 19:31:20,926 | INFO | tools.task_tools | list_tasks returned 0 task(s)
2026-07-19 19:31:20,928 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=6
2026-07-19 19:31:20,931 | INFO | tools.task_tools | list_tasks returned 0 task(s)
2026-07-19 19:31:20,933 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=7
2026-07-19 19:31:20,935 | INFO | tools.task_tools | list_tasks returned 0 task(s)
2026-07-19 19:31:21,086 | INFO | tools.task_tools | create_task called: title='First task' priority=Medium
2026-07-19 19:31:21,098 | INFO | tools.task_tools | create_task succeeded: task_id=32985514-95b9-40ce-b66c-52cc2ace29b5
2026-07-19 19:31:21,265 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=None
2026-07-19 19:31:21,268 | INFO | tools.task_tools | list_tasks returned 1 task(s)
2026-07-19 19:31:21,489 | INFO | tools.task_tools | complete_task called: task_id=54097861-0414-4b93-840d-52e00e35d6a8
2026-07-19 19:31:21,501 | INFO | tools.task_tools | complete_task succeeded: task_id=54097861-0414-4b93-840d-52e00e35d6a8
2026-07-19 19:31:21,756 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=None
2026-07-19 19:31:21,759 | INFO | tools.task_tools | list_tasks returned 2 task(s)
2026-07-19 19:31:22,939 | INFO | tools.task_tools | create_task called: title='Logged task' priority=Medium
2026-07-19 19:31:22,953 | INFO | tools.task_tools | create_task succeeded: task_id=3586260c-33d5-4cac-b5c2-537a3b9d4f03
2026-07-19 19:31:23,014 | INFO | tools.task_tools | update_task called: task_id=does-not-exist
2026-07-19 19:31:23,016 | ERROR | tools.task_tools | update_task failed: no task found with ID does-not-exist
2026-07-19 19:31:23,076 | INFO | tools.task_tools | complete_task called: task_id=does-not-exist
2026-07-19 19:31:23,080 | ERROR | tools.task_tools | complete_task failed: no task found with ID does-not-exist
2026-07-19 19:31:23,148 | INFO | tools.task_tools | create_task called: title='A' priority=Medium
2026-07-19 19:31:23,168 | INFO | tools.task_tools | create_task succeeded: task_id=8b983736-0254-4079-b84b-5820e99cbdaf
2026-07-19 19:31:23,170 | INFO | tools.task_tools | create_task called: title='B' priority=Medium
2026-07-19 19:31:23,186 | INFO | tools.task_tools | create_task succeeded: task_id=594d557a-a750-40df-9afd-d274e94b97d4
2026-07-19 19:31:23,187 | INFO | tools.task_tools | list_tasks called: status=None priority=None tag=None
2026-07-19 19:31:23,190 | INFO | tools.task_tools | list_tasks returned 2 task(s)
2026-07-19 19:31:23,259 | INFO | tools.note_tools | save_note called: title='Logged note' category=general
2026-07-19 19:31:23,271 | INFO | tools.note_tools | save_note succeeded: note_id=38fdbc17-3858-432c-81e9-86d58620e0f1
2026-07-19 19:31:23,320 | INFO | tools.note_tools | save_note called: title='Marketing plan' category=general
2026-07-19 19:31:23,331 | INFO | tools.note_tools | save_note succeeded: note_id=9438b617-8b5f-42f0-8171-c16eae2ad745
2026-07-19 19:31:23,332 | INFO | tools.note_tools | search_notes called: query='marketing' category=None
2026-07-19 19:31:23,334 | INFO | tools.note_tools | search_notes returned 1 result(s)
2026-07-19 19:31:23,398 | INFO | tools.task_tools | create_task called: title='Some task' priority=Medium
2026-07-19 19:31:23,412 | INFO | tools.task_tools | create_task succeeded: task_id=6e8af18d-d794-4310-a95b-0fd2acf6e837
2026-07-19 19:31:23,415 | INFO | tools.planning_tools | generate_work_plan called: available_hours=8.0 date=2026-07-20
2026-07-19 19:31:23,415 | INFO | tools.planning_tools | generate_work_plan succeeded: 1 task(s) scheduled, 0 deferred
2026-07-19 19:31:23,487 | INFO | tools.planning_tools | extract_meeting_actions called: transcript_length=9
2026-07-19 19:31:23,488 | ERROR | tools.planning_tools | extract_meeting_actions failed: LLM error: simulated LLM failure
2026-07-19 19:31:23,554 | INFO | tools.task_tools | create_task called: title='Write tests' priority=Medium
2026-07-19 19:31:23,570 | INFO | tools.task_tools | create_task succeeded: task_id=0ae952e6-a0d6-41f9-bd2f-efa6514c97c6
2026-07-19 19:31:23,641 | INFO | tools.task_tools | create_tasks_bulk called: count=2
2026-07-19 19:31:23,673 | INFO | tools.task_tools | create_tasks_bulk succeeded: task_ids=['d42664ce-cafe-4bcf-b1fa-caf2505c91df', '8ee62133-b145-4bd1-aa0f-a28375b57cdc']
2026-07-19 19:31:23,741 | INFO | tools.task_tools | create_task called: title='A' priority=High
2026-07-19 19:31:23,753 | INFO | tools.task_tools | create_task succeeded: task_id=687db162-6750-4775-8f1d-21adb621e9b7
2026-07-19 19:31:23,754 | INFO | tools.task_tools | create_task called: title='B' priority=Low
2026-07-19 19:31:23,769 | INFO | tools.task_tools | create_task succeeded: task_id=2c5bdc11-c666-45b5-8ccb-ab518915a778
2026-07-19 19:31:23,770 | INFO | tools.task_tools | list_tasks called: status=None priority=Priority.HIGH tag=None
2026-07-19 19:31:23,773 | INFO | tools.task_tools | list_tasks returned 1 task(s)
2026-07-19 19:31:23,848 | INFO | tools.task_tools | update_task called: task_id=does-not-exist
2026-07-19 19:31:23,851 | ERROR | tools.task_tools | update_task failed: no task found with ID does-not-exist
2026-07-19 19:31:23,919 | INFO | tools.task_tools | create_task called: title='Finish this' priority=Medium
2026-07-19 19:31:23,932 | INFO | tools.task_tools | create_task succeeded: task_id=2053bb9c-6a2a-4d97-9e41-043c48860b4e
